telemetry,dhcp_relay,snmp,mgmt-framework,lldp,pmon,radv,bgp,teamd,syncd,swss,database,System CPU%,Time
0.75,0.02,4.99,0.02,0.04,0.03,0.03,0.45,0.05,16.01,0.16,3.09,7.0,Wed 30 Nov 2022 01:07:01 AM UTC
0.74,0.03,1.25,0.03,0.03,0.03,0.03,3.2,0.04,15.11,0.16,6.47,18.9,Wed 30 Nov 2022 01:07:28 AM UTC
0.77,0.03,8.21,0.02,0.04,0.03,0.02,0.43,0.07,10.05,0.18,3.12,24.6,Wed 30 Nov 2022 01:07:53 AM UTC
0.72,0.03,0.18,0.02,0.03,0.03,0.02,0.48,0.04,12.91,0.16,4.5,4.3,Wed 30 Nov 2022 01:08:14 AM UTC
0.76,0.03,5.69,0.02,4.17,0.03,0.03,0.28,0.05,15.58,0.13,9.21,15.7,Wed 30 Nov 2022 01:08:37 AM UTC
0.76,0.02,10.51,0.02,0.03,0.03,0.03,0.56,0.05,16.69,0.15,18.14,8.6,Wed 30 Nov 2022 01:08:59 AM UTC
0.69,0.03,0.14,0.02,0.04,0.04,0.03,0.31,0.05,10.17,0.16,5.34,21.7,Wed 30 Nov 2022 01:09:23 AM UTC
0.71,0.03,10.81,0.02,0.04,0.03,0.02,11.19,0.06,12.24,0.24,6.17,11.8,Wed 30 Nov 2022 01:09:51 AM UTC
0.76,0.03,8.58,0.02,4.5,0.04,0.03,0.67,0.05,11.0,0.13,6.7,8.5,Wed 30 Nov 2022 01:10:15 AM UTC
0.74,0.02,4.89,0.02,0.03,0.03,0.03,1.48,0.07,17.97,0.17,5.16,13.5,Wed 30 Nov 2022 01:10:44 AM UTC
0.68,0.03,7.02,0.02,0.03,0.04,0.02,0.24,0.05,9.89,0.15,4.4,24.3,Wed 30 Nov 2022 01:11:10 AM UTC
0.74,0.03,10.61,0.02,0.03,0.06,0.02,0.59,0.05,14.23,0.16,4.1,11.3,Wed 30 Nov 2022 01:11:32 AM UTC
0.77,0.03,12.69,0.02,0.03,0.03,0.03,2.92,0.04,14.84,0.19,5.41,25.7,Wed 30 Nov 2022 01:12:02 AM UTC
0.75,0.03,2.5,0.02,0.03,0.03,0.03,1.52,0.05,14.51,0.16,3.48,24.0,Wed 30 Nov 2022 01:12:34 AM UTC
0.74,0.03,4.99,0.02,0.04,0.03,0.03,0.25,0.05,15.51,0.28,5.34,4.4,Wed 30 Nov 2022 01:13:01 AM UTC
0.7,0.02,6.01,0.03,0.03,0.03,0.03,0.59,0.05,10.12,0.21,4.1,12.9,Wed 30 Nov 2022 01:13:38 AM UTC
0.74,0.02,7.31,0.02,0.04,0.03,0.03,1.7,0.05,10.03,0.16,4.87,7.1,Wed 30 Nov 2022 01:14:02 AM UTC
0.79,0.03,19.42,0.02,0.03,0.03,0.02,2.13,0.07,13.68,0.16,7.3,7.1,Wed 30 Nov 2022 01:14:27 AM UTC
0.68,0.03,1.2,0.02,4.28,0.03,0.02,0.52,0.04,14.34,1.58,7.18,23.5,Wed 30 Nov 2022 01:14:50 AM UTC
0.65,0.03,2.42,0.02,0.03,0.03,0.03,0.67,0.05,13.87,0.16,7.48,32.1,Wed 30 Nov 2022 01:15:14 AM UTC
0.71,0.02,5.8,0.02,0.03,0.03,0.05,0.34,0.05,10.68,0.15,4.76,22.2,Wed 30 Nov 2022 01:15:38 AM UTC
0.71,0.03,11.95,0.02,0.03,0.04,0.03,3.33,0.06,10.09,0.16,5.06,7.2,Wed 30 Nov 2022 01:16:02 AM UTC
0.8,0.03,19.53,0.04,0.03,0.03,0.03,3.12,0.05,10.35,0.16,6.24,16.7,Wed 30 Nov 2022 01:16:27 AM UTC
0.79,0.03,7.21,0.02,0.03,0.03,0.03,8.81,0.05,14.71,0.19,4.03,13.0,Wed 30 Nov 2022 01:16:53 AM UTC
0.72,0.03,7.33,0.02,0.04,0.03,0.03,2.44,0.05,12.79,0.16,4.57,7.1,Wed 30 Nov 2022 01:17:20 AM UTC
0.81,0.05,0.76,0.02,0.06,0.03,0.03,2.86,0.05,14.11,0.16,5.49,4.3,Wed 30 Nov 2022 01:17:44 AM UTC
0.69,0.03,4.4,0.02,0.03,0.03,0.03,1.93,0.05,13.8,0.15,6.94,5.8,Wed 30 Nov 2022 01:18:07 AM UTC
0.71,0.03,0.12,0.02,0.04,0.03,0.03,0.23,0.05,10.03,0.16,3.16,17.6,Wed 30 Nov 2022 01:18:30 AM UTC
0.78,0.05,3.74,0.02,0.04,0.03,0.03,1.76,0.05,11.31,0.15,5.45,21.7,Wed 30 Nov 2022 01:18:52 AM UTC
0.69,0.03,3.97,0.02,4.05,0.03,0.02,2.25,0.04,10.16,0.2,3.54,14.7,Wed 30 Nov 2022 01:19:13 AM UTC
