Ethernet0 RX-OX,Ethernet0 TX-OX,Ethernet1 RX-OX,Ethernet1 TX-OX,Ethernet2 RX-OX,Ethernet2 TX-OX,Ethernet3 RX-OX,Ethernet3 TX-OX,Ethernet4 RX-OX,Ethernet4 TX-OX,Ethernet5 RX-OX,Ethernet5 TX-OX,Ethernet6 RX-OX,Ethernet6 TX-OX,Ethernet7 RX-OX,Ethernet7 TX-OX,Ethernet16 RX-OX,Ethernet16 TX-OX,Ethernet17 RX-OX,Ethernet17 TX-OX,Ethernet18 RX-OX,Ethernet18 TX-OX,Ethernet19 RX-OX,Ethernet19 TX-OX,Ethernet24 RX-OX,Ethernet24 TX-OX,Ethernet25 RX-OX,Ethernet25 TX-OX,Ethernet26 RX-OX,Ethernet26 TX-OX,Ethernet27 RX-OX,Ethernet27 TX-OX,Ethernet28 RX-OX,Ethernet28 TX-OX,Ethernet29 RX-OX,Ethernet29 TX-OX,Ethernet30 RX-OX,Ethernet30 TX-OX,Ethernet31 RX-OX,Ethernet31 TX-OX,Ethernet32 RX-OX,Ethernet32 TX-OX,Ethernet33 RX-OX,Ethernet33 TX-OX,Ethernet34 RX-OX,Ethernet34 TX-OX,Ethernet35 RX-OX,Ethernet35 TX-OX,Time
1146166,1224150,1146099,1224264,1670216,8228734,1146145,1224338,1145963,1224134,1146045,1224183,1146004,1224155,1146117,1224310,1146081,1224263,1146049,1224219,1146061,1224286,1146065,1224231,774895,753628,774990,753574,788992,770699,973834,1048769,775434,754020,776439,753348,775015,753478,776501,754165,774129,752997,774951,752749,775970,750783,776021,752777,Wed 30 Nov 2022 01:07:01 AM UTC
1146225,1224215,1146158,1224329,1670294,8229663,1146196,1224393,1146023,1224200,1146094,1224236,1146060,1224216,1146176,1224375,1146140,1224328,1146110,1224284,1146110,1224339,1146114,1224284,774932,753665,775027,753611,789029,770736,973884,1048824,775471,754057,776476,753385,775052,753515,776538,754202,774166,753034,774988,752786,776007,750820,776058,752814,Wed 30 Nov 2022 01:07:28 AM UTC
1146271,1224265,1146204,1224379,1670364,8230463,1146240,1224441,1146068,1224249,1146140,1224286,1146105,1224265,1146222,1224425,1146186,1224378,1146156,1224334,1146156,1224389,1146160,1224334,774964,753697,775059,753643,789061,770768,973926,1048869,775503,754089,776508,753417,775084,753547,776570,754234,774202,753070,775022,752820,776043,750856,776092,752848,Wed 30 Nov 2022 01:07:53 AM UTC
1146326,1224314,1146259,1224428,1670441,8231243,1146295,1224490,1146123,1224298,1146195,1224335,1146160,1224314,1146277,1224474,1146241,1224427,1146211,1224383,1146211,1224438,1146215,1224383,775005,753728,775100,753674,789104,770801,973976,1048913,775546,754122,776551,753450,775127,753580,776611,754265,774241,753099,775061,752849,776082,750885,776131,752877,Wed 30 Nov 2022 01:08:14 AM UTC
1146371,1224363,1146304,1224477,1670513,8232059,1146342,1224541,1146169,1224348,1146242,1224386,1146206,1224364,1146322,1224523,1146286,1224476,1146256,1224432,1146256,1224487,1146260,1224432,775036,753759,775131,753705,789133,770830,974016,1048957,775575,754151,776580,753479,775156,753609,776642,754296,774270,753128,775092,752880,776113,750916,776162,752908,Wed 30 Nov 2022 01:08:37 AM UTC
1146416,1224412,1146349,1224526,1670575,8232790,1146385,1224588,1146213,1224396,1146285,1224433,1146250,1224412,1146367,1224572,1146331,1224525,1146301,1224481,1146301,1224536,1146305,1224481,775065,753788,775160,753734,789162,770859,974055,1049000,775604,754180,776609,753508,775185,753638,776671,754325,774299,753157,775121,752909,776142,750945,776191,752937,Wed 30 Nov 2022 01:08:59 AM UTC
1146460,1224460,1146393,1224574,1670657,8233641,1146435,1224642,1146259,1224446,1146333,1224487,1146296,1224462,1146411,1224620,1146375,1224573,1146345,1224529,1146347,1224586,1146351,1224531,775097,753820,775192,753766,789194,770891,974094,1049043,775636,754212,776641,753540,775217,753670,776703,754357,774331,753189,775153,752941,776176,750979,776225,752971,Wed 30 Nov 2022 01:09:23 AM UTC
1146525,1224531,1146458,1224645,1670737,8234665,1146496,1224709,1146323,1224516,1146396,1224554,1146360,1224532,1146476,1224691,1146440,1224644,1146410,1224600,1146410,1224655,1146414,1224600,775136,753859,775233,753807,789235,770932,974146,1049101,775677,754253,776682,753581,775258,753711,776742,754396,774372,753230,775194,752982,776213,751016,776262,753008,Wed 30 Nov 2022 01:09:51 AM UTC
1146574,1224582,1146507,1224696,1670809,8235472,1146545,1224760,1146373,1224567,1146448,1224608,1146410,1224584,1146525,1224742,1146489,1224695,1146461,1224653,1146461,1224708,1146465,1224653,775173,753894,775268,753840,789277,770972,974192,1049149,775715,754289,776719,753616,775296,753747,776779,754431,774411,753267,775229,753015,776250,751051,776300,753044,Wed 30 Nov 2022 01:10:15 AM UTC
1146639,1224653,1146572,1224767,1670902,8236505,1146608,1224829,1146431,1224630,1146511,1224677,1146466,1224645,1146590,1224813,1146554,1224766,1146525,1224723,1146524,1224777,1146528,1224722,775210,753931,775307,753879,789314,771009,974243,1049206,775752,754326,776756,753653,775333,753784,776816,754468,774448,753304,775268,753054,776287,751088,776337,753081,Wed 30 Nov 2022 01:10:44 AM UTC
