Time,Total,Used,Free,Other
Wed 14 Dec 2022 02:13:43 PM UTC,3899.0,2073.0,224.0,1602.0
Wed 14 Dec 2022 02:13:54 PM UTC,3899.0,2078.0,218.0,1603.0
Wed 14 Dec 2022 02:14:05 PM UTC,3899.0,2081.0,216.0,1602.0
Wed 14 Dec 2022 02:14:16 PM UTC,3899.0,2081.0,215.0,1603.0
Wed 14 Dec 2022 02:14:27 PM UTC,3899.0,2120.0,176.0,1603.0
Wed 14 Dec 2022 02:14:39 PM UTC,3899.0,2086.0,210.0,1603.0
Wed 14 Dec 2022 02:14:50 PM UTC,3899.0,2086.0,211.0,1602.0
Wed 14 Dec 2022 02:15:01 PM UTC,3899.0,2086.0,211.0,1602.0
Wed 14 Dec 2022 02:15:12 PM UTC,3899.0,2087.0,210.0,1602.0
Wed 14 Dec 2022 02:15:23 PM UTC,3899.0,2087.0,209.0,1603.0
