syncd_3306,rest_server_6119,dockerd_581,telemetry_6151,dialout_client__6184,containerd_444,python3_6195,zebra_3251,docker_1704,redis-server_957,Time
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:13:43 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:13:54 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:14:05 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:14:16 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:14:27 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:14:39 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:14:50 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:15:01 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:15:12 PM UTC
14.7,2.9,2.7,1.8,1.6,1.6,1.5,1.5,1.5,1.5,Wed 14 Dec 2022 02:15:23 PM UTC
