LM75_U4,LM75_U7,LM75_U10,LM75_U60,PSU1_TEMP1,PSU2_TEMP1,Time
26.0,26.5,32.5,35.5,36.0,34.0,Wed 14 Dec 2022 02:13:43 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Wed 14 Dec 2022 02:13:54 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Wed 14 Dec 2022 02:14:05 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Wed 14 Dec 2022 02:14:16 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Wed 14 Dec 2022 02:14:27 PM UTC
26.0,26.5,33.0,35.0,36.0,34.0,Wed 14 Dec 2022 02:14:39 PM UTC
26.0,26.5,33.0,35.5,36.0,34.0,Wed 14 Dec 2022 02:14:50 PM UTC
26.0,26.5,33.0,35.5,36.0,34.0,Wed 14 Dec 2022 02:15:01 PM UTC
26.0,26.5,33.0,35.5,36.0,34.0,Wed 14 Dec 2022 02:15:12 PM UTC
26.0,26.5,33.0,35.5,36.0,34.0,Wed 14 Dec 2022 02:15:23 PM UTC
