CPU usage percentage,Time
1.4,Thu 15 Dec 2022 12:44:05 PM UTC
2.8,Thu 15 Dec 2022 12:44:16 PM UTC
22.5,Thu 15 Dec 2022 12:44:27 PM UTC
19.7,Thu 15 Dec 2022 12:44:38 PM UTC
2.8,Thu 15 Dec 2022 12:44:49 PM UTC
4.1,Thu 15 Dec 2022 12:45:01 PM UTC
4.5,Thu 15 Dec 2022 12:45:12 PM UTC
2.9,Thu 15 Dec 2022 12:45:23 PM UTC
22.1,Thu 15 Dec 2022 12:45:34 PM UTC
19.7,Thu 15 Dec 2022 12:45:46 PM UTC
7.0,Thu 15 Dec 2022 12:45:56 PM UTC
10.0,Thu 15 Dec 2022 12:46:08 PM UTC
2.9,Thu 15 Dec 2022 12:46:19 PM UTC
1.4,Thu 15 Dec 2022 12:46:30 PM UTC
4.2,Thu 15 Dec 2022 12:46:41 PM UTC
9.6,Thu 15 Dec 2022 12:46:52 PM UTC
10.1,Thu 15 Dec 2022 12:47:04 PM UTC
4.2,Thu 15 Dec 2022 12:47:15 PM UTC
11.1,Thu 15 Dec 2022 12:47:26 PM UTC
4.3,Thu 15 Dec 2022 12:47:37 PM UTC
5.7,Thu 15 Dec 2022 12:47:49 PM UTC
13.2,Thu 15 Dec 2022 12:48:00 PM UTC
8.7,Thu 15 Dec 2022 12:48:11 PM UTC
2.9,Thu 15 Dec 2022 12:48:22 PM UTC
2.9,Thu 15 Dec 2022 12:48:34 PM UTC
11.4,Thu 15 Dec 2022 12:48:45 PM UTC
4.3,Thu 15 Dec 2022 12:48:57 PM UTC
9.0,Thu 15 Dec 2022 12:49:08 PM UTC
7.4,Thu 15 Dec 2022 12:49:20 PM UTC
2.9,Thu 15 Dec 2022 12:49:31 PM UTC
