telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,teamd,bgp,swss,database,System CPU%,Time
1.1,0.04,11.51,0.07,5.44,0.03,13.99,0.21,9.53,1.04,7.58,1.4,Thu 15 Dec 2022 12:44:05 PM UTC
1.31,0.07,3.12,5.75,9.52,0.05,11.55,0.08,2.86,0.44,9.57,2.8,Thu 15 Dec 2022 12:44:16 PM UTC
1.15,0.02,0.78,5.91,5.05,0.04,13.21,0.08,0.41,0.41,11.51,22.5,Thu 15 Dec 2022 12:44:27 PM UTC
1.57,0.03,0.35,0.05,11.62,0.03,12.7,0.07,0.38,1.37,7.25,19.7,Thu 15 Dec 2022 12:44:38 PM UTC
1.26,0.03,13.86,0.23,4.88,0.03,13.01,0.24,0.25,1.05,9.9,2.8,Thu 15 Dec 2022 12:44:49 PM UTC
1.32,0.04,0.93,0.05,5.08,0.04,14.31,0.08,0.84,1.34,8.82,4.1,Thu 15 Dec 2022 12:45:01 PM UTC
1.28,0.07,0.7,0.23,21.11,0.07,9.57,0.08,0.59,0.5,10.24,4.5,Thu 15 Dec 2022 12:45:12 PM UTC
1.3,0.04,11.61,0.09,19.48,0.04,13.34,0.07,0.82,0.72,8.15,2.9,Thu 15 Dec 2022 12:45:23 PM UTC
0.66,0.02,0.08,0.03,11.63,34.51,42.43,0.05,0.13,0.35,39.66,22.1,Thu 15 Dec 2022 12:45:34 PM UTC
1.17,2.36,2.72,0.06,5.21,0.05,11.93,0.1,0.33,1.07,9.39,19.7,Thu 15 Dec 2022 12:45:46 PM UTC
1.46,0.03,4.95,0.05,7.5,0.04,11.06,0.08,2.59,1.51,6.25,7.0,Thu 15 Dec 2022 12:45:56 PM UTC
1.3,0.02,23.24,6.98,5.11,0.04,12.28,0.08,0.2,0.3,10.37,10.0,Thu 15 Dec 2022 12:46:08 PM UTC
1.18,0.03,23.67,0.14,4.92,0.02,12.6,0.06,0.71,0.94,10.19,2.9,Thu 15 Dec 2022 12:46:19 PM UTC
0.76,0.02,6.19,0.06,76.22,0.02,10.86,0.48,0.92,1.65,4.81,1.4,Thu 15 Dec 2022 12:46:30 PM UTC
0.75,0.02,3.43,0.64,1.66,0.03,10.14,0.05,33.59,33.72,5.89,4.2,Thu 15 Dec 2022 12:46:41 PM UTC
1.26,0.03,0.38,0.05,5.08,0.03,10.98,0.06,0.33,0.36,5.9,9.6,Thu 15 Dec 2022 12:46:52 PM UTC
1.34,0.03,7.33,0.03,5.05,0.04,11.04,0.08,0.53,0.42,9.08,10.1,Thu 15 Dec 2022 12:47:04 PM UTC
1.32,0.03,2.35,0.05,7.37,0.04,14.51,0.47,0.21,1.83,6.94,4.2,Thu 15 Dec 2022 12:47:15 PM UTC
1.5,0.04,7.58,0.06,2.47,0.06,12.69,0.08,2.75,0.48,7.51,11.1,Thu 15 Dec 2022 12:47:26 PM UTC
1.19,0.03,1.19,0.03,75.76,0.04,8.99,0.05,0.49,0.7,4.09,4.3,Thu 15 Dec 2022 12:47:37 PM UTC
34.54,28.25,2.35,3.66,28.97,0.05,9.48,0.11,0.48,0.35,5.7,5.7,Thu 15 Dec 2022 12:47:49 PM UTC
1.34,0.04,4.97,0.04,5.0,0.05,11.25,0.65,2.09,2.28,8.48,13.2,Thu 15 Dec 2022 12:48:00 PM UTC
1.11,0.04,7.31,0.08,6.49,0.05,9.54,0.08,0.16,0.41,6.14,8.7,Thu 15 Dec 2022 12:48:11 PM UTC
1.19,0.04,16.21,0.06,2.09,0.04,12.59,0.08,0.64,0.38,7.38,2.9,Thu 15 Dec 2022 12:48:22 PM UTC
1.24,0.06,8.21,0.05,4.92,0.04,11.44,0.08,0.22,0.41,9.03,2.9,Thu 15 Dec 2022 12:48:34 PM UTC
1.45,0.04,5.16,0.04,4.9,0.04,11.19,0.44,0.21,1.38,7.2,11.4,Thu 15 Dec 2022 12:48:45 PM UTC
1.36,0.04,8.95,0.05,4.68,0.05,10.84,0.07,0.34,0.33,9.1,4.3,Thu 15 Dec 2022 12:48:57 PM UTC
1.3,0.04,4.27,0.05,5.19,0.04,13.3,0.08,0.52,0.61,4.2,9.0,Thu 15 Dec 2022 12:49:08 PM UTC
1.19,0.02,7.06,4.9,9.6,0.03,10.33,0.08,1.29,1.86,8.72,7.4,Thu 15 Dec 2022 12:49:20 PM UTC
1.49,0.04,3.5,0.05,11.03,0.03,13.02,0.11,0.95,0.69,11.27,2.9,Thu 15 Dec 2022 12:49:31 PM UTC
