Ethernet0 RX-OX,Ethernet0 TX-OX,Ethernet1 RX-OX,Ethernet1 TX-OX,Ethernet2 RX-OX,Ethernet2 TX-OX,Ethernet3 RX-OX,Ethernet3 TX-OX,Ethernet4 RX-OX,Ethernet4 TX-OX,Ethernet5 RX-OX,Ethernet5 TX-OX,Ethernet6 RX-OX,Ethernet6 TX-OX,Ethernet7 RX-OX,Ethernet7 TX-OX,Ethernet8 RX-OX,Ethernet8 TX-OX,Ethernet9 RX-OX,Ethernet9 TX-OX,Ethernet10 RX-OX,Ethernet10 TX-OX,Ethernet11 RX-OX,Ethernet11 TX-OX,Ethernet12 RX-OX,Ethernet12 TX-OX,Ethernet13 RX-OX,Ethernet13 TX-OX,Ethernet14 RX-OX,Ethernet14 TX-OX,Ethernet15 RX-OX,Ethernet15 TX-OX,Ethernet16 RX-OX,Ethernet16 TX-OX,Ethernet17 RX-OX,Ethernet17 TX-OX,Ethernet18 RX-OX,Ethernet18 TX-OX,Ethernet19 RX-OX,Ethernet19 TX-OX,Ethernet20 RX-OX,Ethernet20 TX-OX,Ethernet21 RX-OX,Ethernet21 TX-OX,Ethernet22 RX-OX,Ethernet22 TX-OX,Ethernet23 RX-OX,Ethernet23 TX-OX,Ethernet24 RX-OX,Ethernet24 TX-OX,Ethernet25 RX-OX,Ethernet25 TX-OX,Ethernet26 RX-OX,Ethernet26 TX-OX,Ethernet27 RX-OX,Ethernet27 TX-OX,Ethernet28 RX-OX,Ethernet28 TX-OX,Ethernet29 RX-OX,Ethernet29 TX-OX,Ethernet30 RX-OX,Ethernet30 TX-OX,Ethernet31 RX-OX,Ethernet31 TX-OX,Ethernet32 RX-OX,Ethernet32 TX-OX,Ethernet33 RX-OX,Ethernet33 TX-OX,Ethernet34 RX-OX,Ethernet34 TX-OX,Ethernet35 RX-OX,Ethernet35 TX-OX,Ethernet36 RX-OX,Ethernet36 TX-OX,Ethernet37 RX-OX,Ethernet37 TX-OX,Ethernet38 RX-OX,Ethernet38 TX-OX,Ethernet39 RX-OX,Ethernet39 TX-OX,Ethernet40 RX-OX,Ethernet40 TX-OX,Ethernet41 RX-OX,Ethernet41 TX-OX,Ethernet42 RX-OX,Ethernet42 TX-OX,Ethernet43 RX-OX,Ethernet43 TX-OX,Ethernet44 RX-OX,Ethernet44 TX-OX,Ethernet45 RX-OX,Ethernet45 TX-OX,Ethernet46 RX-OX,Ethernet46 TX-OX,Ethernet47 RX-OX,Ethernet47 TX-OX,Ethernet48 RX-OX,Ethernet48 TX-OX,Ethernet49 RX-OX,Ethernet49 TX-OX,Ethernet50 RX-OX,Ethernet50 TX-OX,Ethernet51 RX-OX,Ethernet51 TX-OX,Ethernet52 RX-OX,Ethernet52 TX-OX,Ethernet53 RX-OX,Ethernet53 TX-OX,Ethernet54 RX-OX,Ethernet54 TX-OX,Ethernet55 RX-OX,Ethernet55 TX-OX,Time
30412,30430,30430,30430,30430,30427,30419,30412,30418,30419,30432,30424,30435,30412,30432,30430,2066,30376,2062,30362,2064,30370,2064,30364,2062,30370,2066,30364,2062,30373,2064,30362,0,0,0,0,0,0,0,0,2085,30422,0,0,0,0,0,0,30427,30430,30433,30439,30421,30436,30427,30433,30421,30433,30423,30433,30433,30420,30433,30430,2062,30370,2064,30379,2062,30376,2064,30381,2064,30376,2066,30374,2064,30383,2064,30375,0,0,0,0,0,0,0,0,0,0,0,0,2084,30404,0,0,0,0,0,0,0,0,0,0,30412,0,0,0,30412,0,2065,20943,Thu 15 Dec 2022 12:44:05 PM UTC
30419,30436,30437,30436,30437,30433,30425,30418,30425,30424,30439,30430,30442,30417,30438,30436,2066,30382,2062,30368,2064,30376,2064,30370,2062,30376,2066,30370,2062,30379,2064,30368,0,0,0,0,0,0,0,0,2085,30428,0,0,0,0,0,0,30434,30436,30438,30444,30428,30442,30434,30439,30428,30439,30428,30437,30438,30424,30438,30436,2062,30376,2064,30383,2062,30382,2064,30387,2064,30382,2066,30380,2064,30389,2064,30381,0,0,0,0,0,0,0,0,0,0,0,0,2084,30409,0,0,0,0,0,0,0,0,0,0,30418,0,0,0,30418,0,2065,20949,Thu 15 Dec 2022 12:44:16 PM UTC
30425,30442,30443,30443,30442,30440,30429,30425,30431,30431,30445,30435,30448,30422,30443,30442,2067,30387,2063,30373,2065,30382,2065,30376,2063,30382,2067,30376,2063,30385,2065,30374,0,0,0,0,0,0,0,0,2085,30434,0,0,0,0,0,0,30440,30442,30442,30449,30434,30449,30440,30446,30434,30446,30432,30442,30443,30429,30443,30442,2063,30382,2065,30388,2063,30387,2065,30392,2065,30387,2067,30385,2065,30394,2065,30386,0,0,0,0,0,0,0,0,0,0,0,0,2084,30415,0,0,0,0,0,0,0,0,0,0,30424,0,0,0,30422,0,2066,20956,Thu 15 Dec 2022 12:44:27 PM UTC
30431,30446,30447,30447,30446,30446,30434,30431,30437,30437,30451,30439,30452,30426,30449,30446,2067,30391,2063,30377,2065,30386,2065,30380,2063,30386,2067,30380,2063,30389,2065,30378,0,0,0,0,0,0,0,0,2086,30441,0,0,0,0,0,0,30446,30446,30446,30453,30440,30453,30446,30452,30439,30452,30437,30446,30449,30434,30449,30446,2063,30386,2065,30393,2063,30391,2065,30396,2065,30391,2067,30389,2065,30398,2065,30390,0,0,0,0,0,0,0,0,0,0,0,0,2085,30422,0,0,0,0,0,0,0,0,0,0,30430,0,0,0,30426,0,2066,20961,Thu 15 Dec 2022 12:44:38 PM UTC
30438,30450,30452,30451,30451,30450,30441,30437,30442,30443,30457,30443,30457,30431,30456,30450,2067,30395,2063,30381,2065,30390,2065,30384,2063,30390,2067,30384,2063,30393,2065,30382,0,0,0,0,0,0,0,0,2086,30446,0,0,0,0,0,0,30451,30450,30453,30458,30445,30457,30451,30457,30444,30457,30444,30452,30456,30440,30456,30450,2063,30390,2065,30399,2063,30395,2065,30400,2065,30396,2067,30394,2065,30403,2065,30395,0,0,0,0,0,0,0,0,0,0,0,0,2085,30428,0,0,0,0,0,0,0,0,0,0,30437,0,0,0,30432,0,2066,20966,Thu 15 Dec 2022 12:44:49 PM UTC
30443,30456,30457,30456,30456,30456,30447,30443,30447,30449,30462,30450,30462,30438,30462,30456,2068,30402,2064,30388,2066,30396,2066,30390,2064,30396,2068,30390,2064,30399,2066,30388,0,0,0,0,0,0,0,0,2087,30452,0,0,0,0,0,0,30456,30456,30459,30465,30450,30463,30456,30463,30449,30463,30450,30462,30462,30447,30462,30456,2064,30396,2066,30406,2064,30402,2066,30407,2066,30402,2068,30400,2066,30409,2066,30401,0,0,0,0,0,0,0,0,0,0,0,0,2086,30434,0,0,0,0,0,0,0,0,0,0,30441,0,0,0,30438,0,2067,20971,Thu 15 Dec 2022 12:45:01 PM UTC
30447,30462,30462,30462,30462,30460,30453,30447,30451,30453,30466,30456,30467,30444,30467,30462,2068,30408,2064,30394,2066,30402,2066,30396,2064,30402,2068,30396,2064,30405,2066,30394,0,0,0,0,0,0,0,0,2087,30456,0,0,0,0,0,0,30460,30462,30465,30471,30454,30468,30460,30467,30453,30467,30456,30467,30467,30453,30467,30462,2064,30402,2066,30412,2064,30408,2066,30413,2066,30408,2068,30406,2066,30415,2066,30407,0,0,0,0,0,0,0,0,0,0,0,0,2086,30438,0,0,0,0,0,0,0,0,0,0,30445,0,0,0,30444,0,2067,20975,Thu 15 Dec 2022 12:45:12 PM UTC
30452,30469,30469,30469,30469,30466,30459,30452,30457,30458,30471,30463,30474,30451,30472,30469,2068,30417,2064,30401,2066,30409,2066,30403,2064,30409,2068,30403,2064,30412,2066,30401,0,0,0,0,0,0,0,0,2087,30460,0,0,0,0,0,0,30466,30469,30472,30478,30460,30475,30466,30472,30460,30472,30462,30472,30472,30458,30472,30469,2064,30409,2066,30418,2064,30415,2066,30420,2066,30415,2068,30413,2066,30422,2066,30414,0,0,0,0,0,0,0,0,0,0,0,0,2086,30442,0,0,0,0,0,0,0,0,0,0,30450,0,0,0,30451,0,2067,20982,Thu 15 Dec 2022 12:45:23 PM UTC
30457,30475,30475,30475,30475,30472,30463,30457,30463,30463,30477,30469,30480,30455,30476,30475,2069,30421,2065,30407,2067,30415,2067,30409,2065,30415,2069,30409,2065,30418,2067,30407,0,0,0,0,0,0,0,0,2088,30467,0,0,0,0,0,0,30472,30475,30476,30483,30466,30481,30472,30478,30466,30478,30466,30476,30476,30462,30476,30475,2065,30415,2067,30422,2065,30421,2067,30426,2067,30421,2069,30419,2067,30428,2067,30420,0,0,0,0,0,0,0,0,0,0,0,0,2087,30448,0,0,0,0,0,0,0,0,0,0,30456,0,0,0,30455,0,2068,20988,Thu 15 Dec 2022 12:45:34 PM UTC
30463,30480,30480,30480,30480,30478,30467,30463,30469,30469,30483,30473,30485,30459,30481,30480,2069,30425,2065,30411,2067,30419,2067,30413,2065,30420,2069,30413,2065,30422,2067,30412,0,0,0,0,0,0,0,0,2088,30473,0,0,0,0,0,0,30478,30480,30480,30487,30472,30487,30478,30484,30472,30484,30470,30481,30481,30466,30481,30480,2065,30419,2067,30426,2065,30425,2067,30430,2067,30425,2069,30423,2067,30432,2067,30424,0,0,0,0,0,0,0,0,0,0,0,0,2087,30454,0,0,0,0,0,0,0,0,0,0,30462,0,0,0,30459,0,2068,20994,Thu 15 Dec 2022 12:45:46 PM UTC
