syncd_7473,bgpd_7465,rest_server_10906,dockerd_669,telemetry_10973,dialout_client__11007,containerd_483,zebra_7437,redis-server_5845,docker_5989,Time
16.0,3.6,3.2,2.9,1.9,1.8,1.7,1.7,1.7,1.6,Thu 15 Dec 2022 12:44:05 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.7,1.7,1.7,1.6,Thu 15 Dec 2022 12:44:16 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.7,1.7,1.7,1.6,Thu 15 Dec 2022 12:44:27 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.8,1.7,1.7,1.6,Thu 15 Dec 2022 12:44:38 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.7,1.7,1.6,1.6,Thu 15 Dec 2022 12:44:49 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.8,1.7,1.7,1.6,Thu 15 Dec 2022 12:45:01 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.7,1.7,1.7,1.6,Thu 15 Dec 2022 12:45:12 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.8,1.7,1.7,1.6,Thu 15 Dec 2022 12:45:23 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.7,1.7,1.7,1.6,Thu 15 Dec 2022 12:45:34 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.8,1.7,1.7,1.6,Thu 15 Dec 2022 12:45:46 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.8,1.7,1.7,1.6,Thu 15 Dec 2022 12:45:56 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.8,1.7,1.7,1.6,Thu 15 Dec 2022 12:46:08 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.7,1.7,1.6,1.6,Thu 15 Dec 2022 12:46:19 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:46:30 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:46:41 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:46:52 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.7,1.7,1.6,1.6,Thu 15 Dec 2022 12:47:04 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:47:15 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.7,1.7,1.6,1.6,Thu 15 Dec 2022 12:47:26 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:47:37 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:47:49 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.7,1.7,1.6,1.6,Thu 15 Dec 2022 12:48:00 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:48:11 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.7,1.7,1.6,1.6,Thu 15 Dec 2022 12:48:22 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:48:34 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.8,1.7,1.6,1.6,Thu 15 Dec 2022 12:48:45 PM UTC
16.0,3.6,3.2,2.9,1.9,1.8,1.7,1.7,1.7,1.6,Thu 15 Dec 2022 12:48:57 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.8,1.7,1.7,1.6,Thu 15 Dec 2022 12:49:08 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.7,1.7,1.6,1.6,Thu 15 Dec 2022 12:49:20 PM UTC
16.0,3.6,3.2,2.8,1.9,1.8,1.7,1.7,1.6,1.6,Thu 15 Dec 2022 12:49:31 PM UTC
