telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,bgp,teamd,swss,database,System CPU%,Time
1.13,0.04,0.12,7.4,0.05,0.04,12.45,1.06,0.07,0.22,12.43,2.9,Tue 29 Nov 2022 01:53:14 PM UTC
1.24,0.03,1.35,0.05,0.04,0.07,11.02,9.41,0.07,0.23,11.79,1.4,Tue 29 Nov 2022 01:53:25 PM UTC
1.25,0.03,12.58,8.64,0.06,0.07,14.2,1.07,0.08,0.24,14.41,5.8,Tue 29 Nov 2022 01:53:35 PM UTC
1.16,0.04,17.28,6.33,0.04,0.05,12.49,1.09,0.07,0.26,14.2,2.9,Tue 29 Nov 2022 01:53:45 PM UTC
1.18,0.03,3.89,0.06,0.1,0.04,11.09,9.01,0.07,0.19,10.45,4.3,Tue 29 Nov 2022 01:53:55 PM UTC
1.04,0.04,2.5,6.65,0.05,0.04,12.52,0.94,0.08,0.21,10.99,5.8,Tue 29 Nov 2022 01:54:05 PM UTC
1.45,0.04,1.72,6.11,0.05,0.02,15.47,1.12,0.07,0.24,10.62,2.8,Tue 29 Nov 2022 01:54:15 PM UTC
1.04,0.04,3.27,7.05,0.03,0.03,11.08,0.87,0.05,0.2,11.82,2.8,Tue 29 Nov 2022 01:54:26 PM UTC
1.41,0.02,4.54,8.82,0.06,0.04,11.26,1.04,0.06,0.21,14.54,8.7,Tue 29 Nov 2022 01:54:36 PM UTC
1.35,0.04,28.09,6.08,0.03,0.04,10.89,1.04,0.08,0.21,7.46,2.9,Tue 29 Nov 2022 01:54:46 PM UTC
1.23,0.03,4.44,6.86,0.09,0.04,11.42,0.99,0.07,0.22,11.88,1.4,Tue 29 Nov 2022 01:54:56 PM UTC
1.32,0.03,12.03,4.63,0.03,0.04,9.92,0.85,0.07,0.21,8.9,2.9,Tue 29 Nov 2022 01:55:06 PM UTC
1.22,0.03,24.38,6.45,0.05,0.04,10.24,0.97,0.07,0.24,7.65,2.9,Tue 29 Nov 2022 01:55:16 PM UTC
1.24,0.04,2.51,5.52,0.05,0.04,12.95,1.03,0.08,0.24,6.56,4.3,Tue 29 Nov 2022 01:55:26 PM UTC
1.14,0.03,4.82,0.4,0.05,0.06,11.58,1.02,0.07,0.23,11.2,4.3,Tue 29 Nov 2022 01:55:37 PM UTC
1.38,0.05,6.59,0.07,0.05,0.04,12.58,1.03,0.07,0.24,7.54,4.2,Tue 29 Nov 2022 01:55:47 PM UTC
1.43,0.04,3.99,0.07,0.05,0.04,11.39,1.08,0.08,0.28,8.37,4.3,Tue 29 Nov 2022 01:55:57 PM UTC
1.3,0.04,4.38,1.83,0.06,0.04,13.03,1.03,0.08,0.23,9.6,2.9,Tue 29 Nov 2022 01:56:07 PM UTC
1.35,0.04,0.22,0.08,0.06,0.04,12.94,1.05,0.09,0.24,7.61,2.9,Tue 29 Nov 2022 01:56:17 PM UTC
1.16,0.04,15.25,0.06,0.05,0.04,12.78,0.96,0.08,0.23,9.39,4.2,Tue 29 Nov 2022 01:56:27 PM UTC
1.34,0.04,8.18,2.14,0.05,0.04,11.4,1.05,0.08,0.25,17.75,4.3,Tue 29 Nov 2022 01:56:37 PM UTC
1.37,0.04,8.86,0.05,0.06,0.05,12.32,1.07,0.16,0.72,8.21,4.3,Tue 29 Nov 2022 01:56:48 PM UTC
1.05,0.04,7.18,2.04,0.06,0.03,12.6,1.01,0.33,1.08,10.29,4.2,Tue 29 Nov 2022 01:56:58 PM UTC
0.93,0.02,2.51,3.85,0.03,0.03,8.83,0.96,0.2,0.64,13.07,2.8,Tue 29 Nov 2022 01:57:08 PM UTC
1.24,0.06,2.15,3.62,0.05,0.03,12.87,0.99,0.4,1.09,12.01,2.8,Tue 29 Nov 2022 01:57:18 PM UTC
1.39,0.03,3.3,0.1,0.05,0.04,14.09,1.08,0.29,0.93,8.56,5.7,Tue 29 Nov 2022 01:57:28 PM UTC
1.28,0.04,9.68,0.08,0.04,0.05,12.68,0.94,0.42,1.16,7.73,1.4,Tue 29 Nov 2022 01:57:38 PM UTC
1.17,0.03,4.6,1.98,0.05,0.04,11.33,0.93,0.37,1.22,12.73,2.8,Tue 29 Nov 2022 01:57:48 PM UTC
1.35,0.04,1.62,1.07,0.05,0.04,14.14,1.01,0.32,0.95,9.76,5.8,Tue 29 Nov 2022 01:57:59 PM UTC
1.09,0.04,16.63,2.96,0.05,0.03,12.22,0.94,0.32,0.71,14.5,2.9,Tue 29 Nov 2022 01:58:09 PM UTC
