Ethernet0 RX-OX,Ethernet0 TX-OX,Ethernet1 RX-OX,Ethernet1 TX-OX,Ethernet2 RX-OX,Ethernet2 TX-OX,Ethernet3 RX-OX,Ethernet3 TX-OX,Ethernet4 RX-OX,Ethernet4 TX-OX,Ethernet5 RX-OX,Ethernet5 TX-OX,Ethernet6 RX-OX,Ethernet6 TX-OX,Ethernet7 RX-OX,Ethernet7 TX-OX,Ethernet8 RX-OX,Ethernet8 TX-OX,Ethernet9 RX-OX,Ethernet9 TX-OX,Ethernet10 RX-OX,Ethernet10 TX-OX,Ethernet11 RX-OX,Ethernet11 TX-OX,Ethernet12 RX-OX,Ethernet12 TX-OX,Ethernet13 RX-OX,Ethernet13 TX-OX,Ethernet14 RX-OX,Ethernet14 TX-OX,Ethernet15 RX-OX,Ethernet15 TX-OX,Ethernet16 RX-OX,Ethernet16 TX-OX,Ethernet17 RX-OX,Ethernet17 TX-OX,Ethernet18 RX-OX,Ethernet18 TX-OX,Ethernet19 RX-OX,Ethernet19 TX-OX,Ethernet20 RX-OX,Ethernet20 TX-OX,Ethernet21 RX-OX,Ethernet21 TX-OX,Ethernet22 RX-OX,Ethernet22 TX-OX,Ethernet23 RX-OX,Ethernet23 TX-OX,Ethernet24 RX-OX,Ethernet24 TX-OX,Ethernet25 RX-OX,Ethernet25 TX-OX,Ethernet26 RX-OX,Ethernet26 TX-OX,Ethernet27 RX-OX,Ethernet27 TX-OX,Ethernet28 RX-OX,Ethernet28 TX-OX,Ethernet29 RX-OX,Ethernet29 TX-OX,Ethernet30 RX-OX,Ethernet30 TX-OX,Ethernet31 RX-OX,Ethernet31 TX-OX,Ethernet32 RX-OX,Ethernet32 TX-OX,Ethernet33 RX-OX,Ethernet33 TX-OX,Ethernet34 RX-OX,Ethernet34 TX-OX,Ethernet35 RX-OX,Ethernet35 TX-OX,Ethernet36 RX-OX,Ethernet36 TX-OX,Ethernet37 RX-OX,Ethernet37 TX-OX,Ethernet38 RX-OX,Ethernet38 TX-OX,Ethernet39 RX-OX,Ethernet39 TX-OX,Ethernet40 RX-OX,Ethernet40 TX-OX,Ethernet41 RX-OX,Ethernet41 TX-OX,Ethernet42 RX-OX,Ethernet42 TX-OX,Ethernet43 RX-OX,Ethernet43 TX-OX,Ethernet44 RX-OX,Ethernet44 TX-OX,Ethernet45 RX-OX,Ethernet45 TX-OX,Ethernet46 RX-OX,Ethernet46 TX-OX,Ethernet47 RX-OX,Ethernet47 TX-OX,Ethernet48 RX-OX,Ethernet48 TX-OX,Ethernet49 RX-OX,Ethernet49 TX-OX,Ethernet50 RX-OX,Ethernet50 TX-OX,Ethernet51 RX-OX,Ethernet51 TX-OX,Ethernet52 RX-OX,Ethernet52 TX-OX,Ethernet53 RX-OX,Ethernet53 TX-OX,Ethernet54 RX-OX,Ethernet54 TX-OX,Ethernet55 RX-OX,Ethernet55 TX-OX,Time
1933018839,6796483359,39223,39225,39222,39225,39222,39225,39221,39225,39224,39225,39222,39225,39222,39225,1773841,38376,1752538,38376,914742,38376,1608204,38376,1585512,38376,1570088,38376,844546,38376,1194300,38376,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39224,39225,39222,39225,39222,39225,39222,39225,39222,39225,39224,39225,39222,39225,39224,39225,633696,38375,602723,38375,597863,38375,585868,38375,566119,38375,544983,38374,518094,38375,506624,38375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326493,0,22151,0,0,0,0,39220,39225,0,0,39222,39225,189238,38371,Fri 25 Nov 2022 10:26:34 AM UTC
1933018842,6796483362,39224,39226,39223,39226,39223,39226,39222,39226,39225,39226,39223,39226,39223,39226,1773854,38377,1752551,38377,914753,38377,1608217,38377,1585525,38377,1570099,38377,844557,38377,1194313,38377,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39225,39226,39223,39226,39223,39226,39223,39226,39223,39226,39225,39226,39223,39226,39225,39226,633709,38376,602732,38376,597872,38376,585881,38376,566130,38376,544995,38375,518105,38376,506635,38376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326496,0,22152,0,0,0,0,39221,39226,0,0,39223,39226,189247,38372,Fri 25 Nov 2022 10:26:56 AM UTC
1933018847,6796483366,39225,39227,39224,39227,39224,39227,39223,39227,39226,39227,39224,39227,39224,39227,1773863,38377,1752562,38377,914761,38377,1608226,38377,1585534,38377,1570107,38377,844565,38377,1194325,38377,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39226,39227,39224,39227,39224,39227,39224,39227,39224,39227,39226,39227,39224,39227,39226,39227,633718,38376,602744,38376,597884,38376,585889,38376,566142,38376,545003,38375,518117,38376,506647,38376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326500,0,22153,0,0,0,0,39222,39227,0,0,39224,39227,189259,38372,Fri 25 Nov 2022 10:27:19 AM UTC
1933018849,6796483368,39225,39227,39224,39227,39224,39227,39223,39227,39226,39227,39224,39227,39224,39227,1773873,38378,1752570,38378,914774,38378,1608236,38378,1585544,38378,1570120,38378,844578,38378,1194333,38378,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39226,39227,39224,39227,39224,39227,39224,39227,39224,39227,39226,39227,39224,39227,39226,39227,633728,38377,602755,38377,597895,38377,585900,38377,566150,38377,545015,38376,518125,38377,506655,38377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326502,0,22153,0,0,0,0,39222,39227,0,0,39224,39227,189270,38373,Fri 25 Nov 2022 10:27:39 AM UTC
1933018852,6796483372,39226,39228,39225,39228,39225,39228,39224,39228,39227,39228,39225,39228,39225,39228,1773886,38379,1752583,38379,914784,38379,1608249,38379,1585557,38379,1570130,38379,844588,38379,1194345,38379,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39227,39228,39225,39228,39225,39228,39225,39228,39225,39228,39227,39228,39225,39228,39227,39228,633741,38378,602764,38378,597904,38378,585912,38378,566162,38378,545026,38377,518137,38378,506667,38378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326505,0,22154,0,0,0,0,39223,39228,0,0,39225,39228,189279,38374,Fri 25 Nov 2022 10:28:00 AM UTC
1933018857,6796483376,39227,39229,39226,39229,39226,39229,39225,39229,39228,39229,39226,39229,39226,39229,1773893,38380,1752592,38380,914794,38380,1608256,38380,1585564,38380,1570140,38380,844598,38380,1194355,38380,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39228,39229,39226,39229,39226,39229,39226,39229,39226,39229,39228,39229,39226,39229,39228,39229,633748,38379,602777,38379,597917,38379,585920,38379,566172,38379,545035,38378,518147,38379,506677,38379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326508,0,22155,0,0,0,0,39224,39229,0,0,39226,39229,189292,38375,Fri 25 Nov 2022 10:28:21 AM UTC
1933018859,6796483378,39227,39229,39226,39229,39226,39229,39225,39229,39228,39229,39226,39229,39226,39229,1773905,38380,1752602,38380,914804,38380,1608268,38380,1585576,38380,1570150,38380,844608,38380,1194364,38380,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39228,39229,39226,39229,39226,39229,39226,39229,39226,39229,39228,39229,39226,39229,39228,39229,633760,38379,602784,38379,597924,38379,585932,38379,566181,38379,545047,38378,518156,38379,506686,38379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326510,0,22155,0,0,0,0,39224,39229,0,0,39226,39229,189299,38375,Fri 25 Nov 2022 10:28:41 AM UTC
1933018862,6796483381,39228,39230,39227,39230,39227,39230,39226,39230,39229,39230,39227,39230,39227,39230,1773913,38381,1752611,38381,914813,38381,1608276,38381,1585584,38381,1570159,38381,844617,38381,1194374,38381,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39229,39230,39227,39230,39227,39230,39227,39230,39227,39230,39229,39230,39227,39230,39229,39230,633768,38380,602796,38380,597936,38380,585940,38380,566193,38380,545054,38379,518168,38380,506698,38380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326513,0,22156,0,0,0,0,39225,39230,0,0,39227,39230,189311,38376,Fri 25 Nov 2022 10:29:01 AM UTC
1933018867,6796483385,39229,39231,39228,39231,39228,39231,39227,39231,39230,39231,39228,39231,39228,39231,1773925,38382,1752622,38382,914824,38382,1608288,38382,1585596,38382,1570170,38382,844628,38382,1194384,38382,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39230,39231,39228,39231,39228,39231,39228,39231,39228,39231,39230,39231,39228,39231,39230,39231,633780,38381,602803,38381,597943,38381,585952,38381,566201,38381,545067,38380,518176,38381,506706,38381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326516,0,22157,0,0,0,0,39226,39231,0,0,39228,39231,189319,38377,Fri 25 Nov 2022 10:29:21 AM UTC
1933018869,6796483387,39229,39231,39228,39231,39228,39231,39227,39231,39230,39231,39228,39231,39228,39231,1773934,38382,1752632,38382,914832,38382,1608296,38382,1585605,38382,1570178,38382,844636,38382,1194395,38382,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39230,39231,39228,39231,39228,39231,39228,39231,39228,39231,39230,39231,39228,39231,39230,39231,633789,38381,602815,38381,597955,38381,585960,38381,566213,38381,545075,38380,518188,38381,506718,38381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326518,0,22157,0,0,0,0,39226,39231,0,0,39228,39231,189330,38377,Fri 25 Nov 2022 10:29:42 AM UTC
