Time,Total,Used,Free,Other
Tue 15 Nov 2022 03:12:12 PM UTC,3578,2188,176,1214
Tue 15 Nov 2022 03:12:23 PM UTC,3578,2192,173,1213
Tue 15 Nov 2022 03:12:33 PM UTC,3578,2196,168,1214
Tue 15 Nov 2022 03:12:43 PM UTC,3578,2196,168,1214
Tue 15 Nov 2022 03:12:53 PM UTC,3578,2200,164,1214
Tue 15 Nov 2022 03:13:04 PM UTC,3578,2200,164,1214
Tue 15 Nov 2022 03:13:14 PM UTC,3578,2202,162,1214
Tue 15 Nov 2022 03:13:24 PM UTC,3578,2199,165,1214
Tue 15 Nov 2022 03:13:35 PM UTC,3578,2233,131,1214
Tue 15 Nov 2022 03:13:45 PM UTC,3578,2202,161,1215
Tue 15 Nov 2022 03:13:55 PM UTC,3578,2200,164,1214
Tue 15 Nov 2022 03:14:06 PM UTC,3578,2206,158,1214
Tue 15 Nov 2022 03:14:16 PM UTC,3578,2206,157,1215
Tue 15 Nov 2022 03:14:26 PM UTC,3578,2202,162,1214
Tue 15 Nov 2022 03:14:36 PM UTC,3578,2205,159,1214
Tue 15 Nov 2022 03:14:47 PM UTC,3578,2206,176,1196
Tue 15 Nov 2022 03:14:57 PM UTC,3578,2205,176,1197
Tue 15 Nov 2022 03:15:07 PM UTC,3578,2207,174,1197
Tue 15 Nov 2022 03:15:17 PM UTC,3578,2207,175,1196
Tue 15 Nov 2022 03:15:27 PM UTC,3578,2205,194,1179
Tue 15 Nov 2022 03:15:37 PM UTC,3578,2207,192,1179
Tue 15 Nov 2022 03:15:48 PM UTC,3578,2227,171,1180
Tue 15 Nov 2022 03:15:58 PM UTC,3578,2207,192,1179
Tue 15 Nov 2022 03:16:08 PM UTC,3578,2206,193,1179
Tue 15 Nov 2022 03:16:18 PM UTC,3578,2207,191,1180
Tue 15 Nov 2022 03:16:29 PM UTC,3578,2205,193,1180
Tue 15 Nov 2022 03:16:39 PM UTC,3578,2207,191,1180
Tue 15 Nov 2022 03:16:49 PM UTC,3578,2207,191,1180
Tue 15 Nov 2022 03:17:00 PM UTC,3578,2205,193,1180
Tue 15 Nov 2022 03:17:10 PM UTC,3578,2206,191,1181
