syncd_2293,rest_server_4312,dockerd_609,zebra_2303,telemetry_4359,dialout_client__4388,redis-server_894,containerd_513,docker_1093,bgpd_2327,Time
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:53:14 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:53:25 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:53:35 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:53:45 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:53:55 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:54:05 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:54:15 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:54:26 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:54:36 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:54:46 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:54:56 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.3,Tue 29 Nov 2022 01:55:06 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:55:16 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:55:26 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:55:37 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:55:47 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:55:57 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:56:07 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:56:17 PM UTC
14.6,3.0,2.7,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:56:27 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:56:37 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:56:48 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:56:58 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.3,Tue 29 Nov 2022 01:57:08 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:57:18 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:57:28 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:57:38 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:57:48 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:57:59 PM UTC
14.6,3.0,2.6,2.4,1.7,1.6,1.5,1.5,1.5,1.1,Tue 29 Nov 2022 01:58:09 PM UTC
